-------------------------- Resultado Execução --------------------------


Fitness|Execução|Tamanho da População|Numero de Gerações|Taxa de Mutação|Taxa de Crossover|X      |Y
 0.9903|1       |100                 |100               |0.5%           |65%              |-2.8656|-1.2801
 0.9903|2       |100                 |100               |0.5%           |65%              |-2.6782|-1.6363
 0.9903|3       |100                 |100               |0.5%           |65%              |-3.1127| 0.4015
 0.9903|4       |100                 |100               |0.5%           |65%              |-0.1048| 3.1363
 0.9903|5       |100                 |100               |0.5%           |65%              |-2.3006|-2.1348
 0.9999|6       |100                 |100               |0.5%           |65%              |-0.0071| 0.0079
 0.9903|7       |100                 |100               |0.5%           |65%              | 3.1205|-0.3353
 0.9903|8       |100                 |100               |0.5%           |65%              |-2.6225| 1.7242
 0.9903|9       |100                 |100               |0.5%           |65%              | 1.4500| 2.7836
 0.9903|10      |100                 |100               |0.5%           |65%              |-2.9081|-1.1802
 0.9903|11      |100                 |100               |0.5%           |65%              | 0.7078|-3.0576
 1.0000|12      |100                 |100               |0.5%           |65%              | 0.0001| 0.0001
 0.9903|13      |100                 |100               |0.5%           |65%              |-2.9593|-1.0451
 0.9903|14      |100                 |100               |0.5%           |65%              |-3.1293| 0.2394
 0.9903|15      |100                 |100               |0.5%           |65%              |-0.5404| 3.0916
 0.9903|16      |100                 |100               |0.5%           |65%              | 0.3126|-3.1229
 0.9903|17      |100                 |100               |0.5%           |65%              |-3.1303| 0.2272
 0.9903|18      |100                 |100               |0.5%           |65%              |-2.8529| 1.3080
 0.9899|19      |100                 |100               |0.5%           |65%              | 3.0987|-0.3551
 0.9903|20      |100                 |100               |0.5%           |65%              | 1.7482| 2.6065
 1.0000|21      |100                 |100               |0.5%           |65%              | 0.0000| 0.0000
 0.9903|22      |100                 |100               |0.5%           |65%              |-3.0466|-0.7539
 0.9903|23      |100                 |100               |0.5%           |65%              | 2.0317| 2.3926
 0.9903|24      |100                 |100               |0.5%           |65%              | 0.6113|-3.0803
 0.9903|25      |100                 |100               |0.5%           |65%              |-3.1250|-0.2908
 0.9884|26      |100                 |100               |0.5%           |65%              |-2.9735| 0.8585
 0.9903|27      |100                 |100               |0.5%           |65%              |-2.7481|-1.5160
 0.9903|28      |100                 |100               |0.5%           |65%              |-2.5246|-1.8646
 0.9903|29      |100                 |100               |0.5%           |65%              |-0.5787| 3.0847
 1.0000|30      |100                 |100               |0.5%           |65%              | 0.0000| 0.0000
 0.9863|31      |100                 |100               |0.5%           |65%              |-0.7317| 2.9865
 1.0000|32      |100                 |100               |0.5%           |65%              | 0.0000| 0.0001
 0.9868|33      |100                 |100               |0.5%           |65%              | 0.0000| 3.1982
 0.9903|34      |100                 |100               |0.5%           |65%              | 1.0501|-2.9576
 0.9903|35      |100                 |100               |0.5%           |65%              |-1.7521| 2.6039
 0.9992|36      |100                 |100               |0.5%           |65%              |-0.0286|-0.0039
 0.9999|37      |100                 |100               |0.5%           |65%              |-0.0075| 0.0005
 0.9903|38      |100                 |100               |0.5%           |65%              |-0.1234|-3.1362
 0.9903|39      |100                 |100               |0.5%           |65%              | 2.8255| 1.3641
 0.9806|40      |100                 |100               |0.5%           |65%              |-0.1308|-0.0484
 1.0000|41      |100                 |100               |0.5%           |65%              | 0.0000| 0.0000
 0.9972|42      |100                 |100               |0.5%           |65%              | 0.0450| 0.0285
 0.9903|43      |100                 |100               |0.5%           |65%              |-2.9306|-1.1233
 1.0000|44      |100                 |100               |0.5%           |65%              | 0.0007| 0.0000
 0.9903|45      |100                 |100               |0.5%           |65%              | 0.3223| 3.1209
 0.9903|46      |100                 |100               |0.5%           |65%              |-1.4274| 2.7951
 0.9903|47      |100                 |100               |0.5%           |65%              | 3.0876|-0.5628
 0.9903|48      |100                 |100               |0.5%           |65%              | 2.8621| 1.2879
 0.9901|49      |100                 |100               |0.5%           |65%              | 3.1232|-0.0696
 1.0000|50      |100                 |100               |0.5%           |65%              | 0.0000| 0.0000


------------------------------------------------------------------------
