-------------------------- Results --------------------------


Fitness|Execução|POP Size|Number of Generations|Mutation Rate|Crossover Rate|X      |Y
 0.9903|1       |100                 |100               |0.5%           |65%              |-1.9815| 2.4353
 0.9903|2       |100                 |100               |0.5%           |65%              | 1.4973| 2.7585
 0.9903|3       |100                 |100               |0.5%           |65%              | 2.3281|-2.1048
 0.9903|4       |100                 |100               |0.5%           |65%              | 3.0921|-0.5026
 0.9903|5       |100                 |100               |0.5%           |65%              | 3.0996| 0.4922
 0.9903|6       |100                 |100               |0.5%           |65%              | 2.2917|-2.1442
 0.9903|7       |100                 |100               |0.5%           |65%              |-2.4868|-1.9142
 0.9998|8       |100                 |100               |0.5%           |65%              | 0.0052|-0.0134
 0.9903|9       |100                 |100               |0.5%           |65%              |-0.8154| 3.0338
 0.9903|10      |100                 |100               |0.5%           |65%              |-1.4156| 2.8008
 0.9896|11      |100                 |100               |0.5%           |65%              | 1.9160|-2.4513
 0.9903|12      |100                 |100               |0.5%           |65%              |-0.3145|-3.1227
 0.9903|13      |100                 |100               |0.5%           |65%              |-2.9443| 1.0878
 0.9903|14      |100                 |100               |0.5%           |65%              |-1.7483| 2.6062
 0.9903|15      |100                 |100               |0.5%           |65%              | 2.8488|-1.3116
 0.9903|16      |100                 |100               |0.5%           |65%              |-2.3640|-2.0611
 0.9928|17      |100                 |100               |0.5%           |65%              | 0.0106| 0.0843
 0.9903|18      |100                 |100               |0.5%           |65%              |-1.6323| 2.6805
 0.9903|19      |100                 |100               |0.5%           |65%              |-3.0272|-0.8208
 0.9903|20      |100                 |100               |0.5%           |65%              | 2.2101|-2.2285
 0.9903|21      |100                 |100               |0.5%           |65%              | 1.1667| 2.9136
 0.9903|22      |100                 |100               |0.5%           |65%              |-2.1242|-2.3106
 0.9993|23      |100                 |100               |0.5%           |65%              |-0.0253|-0.0082
 0.9872|24      |100                 |100               |0.5%           |65%              | 3.1541|-0.5089
 0.9902|25      |100                 |100               |0.5%           |65%              | 1.9336| 2.4828
 0.9903|26      |100                 |100               |0.5%           |65%              | 2.7129| 1.5781
 0.9903|27      |100                 |100               |0.5%           |65%              |-2.8830| 1.2419
 0.9903|28      |100                 |100               |0.5%           |65%              |-2.5539|-1.8233
 0.9903|29      |100                 |100               |0.5%           |65%              | 1.3752| 2.8211
 0.9999|30      |100                 |100               |0.5%           |65%              | 0.0092| 0.0021
 1.0000|31      |100                 |100               |0.5%           |65%              |-0.0003|-0.0032
 0.9903|32      |100                 |100               |0.5%           |65%              |-2.9160|-1.1566
 0.9903|33      |100                 |100               |0.5%           |65%              |-1.9579|-2.4520
 0.9903|34      |100                 |100               |0.5%           |65%              | 1.4022|-2.8055
 0.9959|35      |100                 |100               |0.5%           |65%              | 0.0593|-0.0237
 0.9768|36      |100                 |100               |0.5%           |65%              |-3.2556|-0.0490
 0.9903|37      |100                 |100               |0.5%           |65%              | 2.9817| 0.9791
 0.9903|38      |100                 |100               |0.5%           |65%              | 2.5790| 1.7883
 0.9903|39      |100                 |100               |0.5%           |65%              | 3.0517|-0.7347
 0.9903|40      |100                 |100               |0.5%           |65%              |-0.0010|-3.1385
 0.9903|41      |100                 |100               |0.5%           |65%              |-0.0582|-3.1380
 0.9903|42      |100                 |100               |0.5%           |65%              |-2.4981| 1.8998
 0.9903|43      |100                 |100               |0.5%           |65%              |-2.7798|-1.4518
 0.9903|44      |100                 |100               |0.5%           |65%              |-1.1179|-2.9327
 0.9903|45      |100                 |100               |0.5%           |65%              |-0.3675| 3.1141
 0.9903|46      |100                 |100               |0.5%           |65%              |-2.8866| 1.2363
 0.9903|47      |100                 |100               |0.5%           |65%              |-2.6612| 1.6636
 0.9903|48      |100                 |100               |0.5%           |65%              | 2.5482|-1.8320
 0.9903|49      |100                 |100               |0.5%           |65%              |-1.6597| 2.6586
 0.9903|50      |100                 |100               |0.5%           |65%              |-2.5122| 1.8788


------------------------------------------------------------------------
